"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",1,"2020-02-09T14:25:57-03:00","2020-02-09",-53.5410658458,-34.0397906579,130,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/38470807","Rocha","verano"
"Carpobrotus edulis","species",1,"2020-02-09T14:25:11-03:00","2020-02-09",-53.5368131739,-34.0333358597,12,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/38470787","Rocha","verano"
"Carpobrotus edulis","species",2,"2020-02-06T09:08:29-03:00","2020-02-01",-55.0603631884,-34.8252852223,16829,"jmass",2412065,"",9562,6779,16341,"cc-by-nc",2,"https://www.inaturalist.org/observations/38356037","Maldonado","verano"
"Carpobrotus edulis","species",1,"2020-02-01T08:30:51+00:00","2020-01-20",-55.3222067083,-34.8208457663,40,"flo_grattarola",736016,"Florencia Grattarola",3837,6199,10037,"cc0",1,"https://www.inaturalist.org/observations/38173952","Maldonado","verano"
"Carpobrotus edulis","species",2,"2020-01-31T20:00:57-03:00","2020-01-31",-55.0451017231,-34.8881117482,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/38160041","Maldonado","verano"
"Carpobrotus edulis","species",1,"2020-01-22T17:53:48-03:00","2020-01-22",-54.9529050758,-34.9350759617,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/37854509","Maldonado","verano"
"Carpobrotus edulis","species",0,"2020-01-01T19:19:16-03:00","2020-01-01",-54.6018104553,-34.816532135,,"lagunagarzon",2439287,"Guardaparques Laguna Garzón",597,277,874,"cc-by-nc-sa",0,"https://www.inaturalist.org/observations/37172036","Maldonado","verano"
"Carpobrotus edulis","species",0,"2019-12-25T15:43:28-03:00","2019-12-25",-54.9576823162,-34.9313384994,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",0,"https://www.inaturalist.org/observations/36943848","Maldonado","primavera"
"Carpobrotus edulis","species",1,"2019-12-12T09:24:45-03:00","2019-12-12",-54.5371780396,-34.7869567871,,"rpereirag",2079928,"Ramiro Pereira Garbero",692,860,1552,"cc-by-nc",1,"https://www.inaturalist.org/observations/36586034","Rocha","primavera"
"Carpobrotus edulis","species",1,"2019-11-17T23:27:28-03:00","2019-11-09",-55.7159251927,-34.768110437,168,"diegoalmendras",612949,"Diego Almendras G.",14277,95194,109471,,1,"https://www.inaturalist.org/observations/35802536","Canelones","primavera"
"Carpobrotus edulis","species",0,"2019-11-17T23:27:27-03:00","2019-11-09",-55.7159251927,-34.768110437,168,"diegoalmendras",612949,"Diego Almendras G.",14277,95194,109471,,0,"https://www.inaturalist.org/observations/35802535","Canelones","primavera"
"Carpobrotus edulis","species",1,"2019-11-17T23:27:24-03:00","2019-11-09",-55.7159251927,-34.768110437,168,"diegoalmendras",612949,"Diego Almendras G.",14277,95194,109471,,1,"https://www.inaturalist.org/observations/35802532","Canelones","primavera"
"Carpobrotus edulis","species",1,"2019-04-11T19:08:31-03:00","2019-04-11",-56.0457041908,-34.8874817002,24,"santiagomailhos",1467469,"Santiago",8354,67643,75997,"cc-by-nc",1,"https://www.inaturalist.org/observations/22345368","Montevideo","otoño"
"Carpobrotus edulis","species",0,"2019-03-31T12:51:27-03:00","2017-08-05",-53.7773783333,-34.40498,5,"santiagomailhos",1467469,"Santiago",8354,67643,75997,"cc-by-nc",0,"https://www.inaturalist.org/observations/21828802","Rocha","invierno"
"Carpobrotus edulis","species",2,"2019-03-23T16:12:07-03:00","2018-10-22",-56.0467805,-34.887755,5,"santiagomailhos",1467469,"Santiago",8354,67643,75997,"cc-by-nc",2,"https://www.inaturalist.org/observations/21523589","Montevideo","primavera"
"Carpobrotus edulis","species",1,"2019-02-21T21:22:34-03:00","2019-02-20",-55.3152702749,-34.8302454938,263,"joaco5",1477134,"Joaquín Davila",539,3045,3584,"cc-by-nc",1,"https://www.inaturalist.org/observations/20543070","Maldonado","verano"
"Carpobrotus edulis","species",2,"2018-09-17T19:44:16-03:00","2018-09-17",-55.3973966667,-34.7886666667,5,"pabloreyesl",1048385,,332,0,332,,2,"https://www.inaturalist.org/observations/16641791","Canelones","invierno"
